id,bone_length,rotting_flesh,hair_length,has_soul,color,type
0,0.3545121846,0.3508390267,0.4657608918,0.7811416659,clear,Ghoul
1,0.575559905,0.4258684322,0.5314013787,0.439898877,green,Goblin
2,0.4678754987,0.3543304204,0.8116160897,0.7912249733,black,Ghoul
3,0.7766524607,0.5087225499,0.63676558,0.8844636921,black,Ghoul
4,0.5661166021,0.8758617955,0.4185936709,0.6364378187,green,Ghost
5,0.4056797449,0.2532774967,0.4414196711,0.2803238199,green,Goblin
6,0.3993308509,0.5689517671,0.6183910203,0.4679008345,white,Goblin
7,0.5162238981,0.5364287457,0.6127761466,0.4680482696,clear,Ghoul
8,0.3142952759,0.6712796901,0.4172669166,0.2275475751,blue,Ghost
9,0.2809417441,0.701457493,0.1796332951,0.1411826507,white,Ghost
10,0.4316852133,0.4389592732,0.239212488,0.4718195627,clear,Goblin
11,0.5845432264,0.5930819356,0.6811657623,0.9357213331,clear,Ghoul
12,0.3907121286,0.3350693973,0.5561094618,0.7842165804,white,Ghoul
13,0.3515586721,0.4710781717,0.4844577817,0.4653278803,black,Goblin
14,0.5133872214,0.3013447616,0.7456755655,0.545792299,clear,Goblin
15,0.500196552,0.4384181454,0.5325298148,0.6655224297,clear,Ghoul
16,0.2507699998,0.2462576856,0.5546544421,0.2500355193,black,Ghost
17,0.5855593169,0.5859386188,1,0.7086917501,black,Ghoul
18,0.6058359561,0.5879431787,0.5293612489,0.5267176472,blue,Ghoul
19,0.5240803802,0.7509881383,0.5246370242,0.4433583431,green,Ghost
20,0.5031640578,0.4640553336,0.497782803,0.4720310492,clear,Goblin
21,0.4726032938,0.4271505454,0.5901301906,0.3564882329,white,Ghoul
22,0.3744485738,0.3841831313,0.6758683608,0.4147003342,clear,Goblin
23,0.3433496058,0.3974500258,0.4788760241,0.6218228827,white,Ghoul
24,0.6872555003,0.3015761681,0.7619487307,0.5137787309,clear,Ghoul
25,0.2290099049,0.5673132984,0.3737434191,0.3296358811,white,Ghost
26,0.3885005479,0.3423058489,0.669627291,0.538648669,clear,Goblin
27,0.4924381032,0.6231972685,0.6048791201,0.3761415242,green,Goblin
